years(Äê£© mjd gps(input) gps(rm_leap) gps(rm_leap_3sigma) gps(rm_leap_sigma_depoly) gps(rm_leap_sigma_running_aver) gps(rm_leap_sigma_running_aver_sigma) year month day
2004.712 53265.5   10.72   10.72   10.72   10.63   11.46   11.46 2004    9   17
2004.714 53266.5    5.08    5.08    5.08    4.98    5.79    5.79 2004    9   18
2004.717 53267.5   11.84   11.84   11.84   11.74   12.52   12.52 2004    9   19
2004.720 53268.5   14.26   14.26   14.26   14.16   14.91    6.44 2004    9   20
2004.723 53269.5   -0.27   -0.27   -0.27   -0.37    0.36    0.36 2004    9   21
2004.725 53270.5    6.46    6.46    6.46    6.36    7.10    7.10 2004    9   22
2004.728 53271.5    1.60    1.60    1.60    1.49    2.21    2.21 2004    9   23
2004.731 53272.5   -0.07   -0.07   -0.07   -0.17    0.53    0.53 2004    9   24
2004.734 53273.5    1.46    1.46    1.46    1.35    2.04    2.04 2004    9   25
2004.736 53274.5    3.07    3.07    3.07    2.96    3.64    3.64 2004    9   26
2004.739 53275.5    1.22    1.22    1.22    1.11    1.77    1.77 2004    9   27
2004.742 53276.5   -2.10   -2.10   -2.10   -2.21   -1.56   -1.56 2004    9   28
2004.745 53277.5    2.51    2.51    2.51    2.40    3.01    3.01 2004    9   29
2004.747 53278.5   -3.23   -3.23   -3.23   -3.35   -2.75   -2.75 2004    9   30
2004.750 53279.5   -3.32   -3.32   -3.32   -3.44   -2.87   -2.87 2004   10    1
2004.753 53280.5    0.27    0.27    0.27    0.16    0.72    0.72 2004   10    2
2004.755 53281.5   -0.02   -0.02   -0.02   -0.14    0.41    0.41 2004   10    3
2004.758 53282.5   -3.08   -3.08   -3.08   -3.20   -2.66   -2.66 2004   10    4
2004.761 53283.5    1.92    1.92    1.92    1.80    2.32    2.32 2004   10    5
2004.764 53284.5    3.57    3.57    3.57    3.45    3.93    3.93 2004   10    6
2004.766 53285.5    2.97    2.97    2.97    2.85    3.30    3.30 2004   10    7
2004.769 53286.5    2.38    2.38    2.38    2.25    2.74    2.74 2004   10    8
2004.772 53287.5   -0.93   -0.93   -0.93   -1.06   -0.55   -0.55 2004   10    9
2004.775 53288.5   -3.56   -3.56   -3.56   -3.69   -3.18   -3.18 2004   10   10
2004.777 53289.5   -0.35   -0.35   -0.35   -0.48    0.04    0.04 2004   10   11
2004.780 53290.5    2.67    2.67    2.67    2.54    3.07    3.07 2004   10   12
2004.783 53291.5   -3.01   -3.01   -3.01   -3.14   -2.60   -2.60 2004   10   13
2004.786 53292.5    4.18    4.18    4.18    4.04    4.60    4.60 2004   10   14
2004.788 53293.5   -3.51   -3.51   -3.51   -3.65   -3.07   -3.07 2004   10   15
2004.791 53294.5   -3.82   -3.82   -3.82   -3.96   -3.34   -3.34 2004   10   16
2004.794 53295.5   -1.33   -1.33   -1.33   -1.46   -0.81   -0.81 2004   10   17
2004.797 53296.5   -2.03   -2.03   -2.03   -2.17   -1.48   -1.48 2004   10   18
2004.799 53297.5   -2.22   -2.22   -2.22   -2.36   -1.65   -1.65 2004   10   19
2004.802 53298.5   -4.61   -4.61   -4.61   -4.75   -4.04   -4.04 2004   10   20
2004.805 53299.5  -11.65  -11.65  -11.65  -11.80  -11.08  -11.08 2004   10   21
2004.807 53300.5   -5.52   -5.52   -5.52   -5.67   -4.95   -4.95 2004   10   22
2004.810 53301.5   -4.53   -4.53   -4.53   -4.68   -3.95   -3.95 2004   10   23
2004.813 53302.5   -5.11   -5.11   -5.11   -5.26   -4.52   -4.52 2004   10   24
2004.816 53303.5  -10.28  -10.28  -10.28  -10.43   -9.73   -9.73 2004   10   25
2004.818 53304.5   -4.73   -4.73   -4.73   -4.88   -4.22   -4.22 2004   10   26
2004.821 53305.5    0.76    0.76    0.76    0.60    1.28    1.28 2004   10   27
2004.824 53306.5   -0.87   -0.87   -0.87   -1.03   -0.36   -0.36 2004   10   28
2004.827 53307.5   -3.10   -3.10   -3.10   -3.25   -2.62   -2.62 2004   10   29
2004.829 53308.5   -7.41   -7.41   -7.41   -7.57   -6.97   -6.97 2004   10   30
